#m_a [GeV]  T_R [GeV]  Omega h^2
1.202e-02  9.120e-02  6.143e+03  
1.318e-02  9.120e-02  6.685e+03  
1.445e-02  9.120e-02  7.269e+03  
1.585e-02  9.120e-02  7.898e+03  
1.738e-02  9.120e-02  8.571e+03  
1.905e-02  9.120e-02  9.292e+03  
2.089e-02  9.120e-02  1.006e+04  
2.291e-02  9.120e-02  1.088e+04  
2.512e-02  9.120e-02  1.174e+04  
2.754e-02  9.120e-02  1.265e+04  
3.020e-02  9.120e-02  1.361e+04  
3.311e-02  9.120e-02  1.461e+04  
3.631e-02  9.120e-02  1.564e+04  
3.981e-02  9.120e-02  1.670e+04  
4.365e-02  9.120e-02  1.779e+04  
4.786e-02  9.120e-02  1.889e+04  
5.248e-02  9.120e-02  1.998e+04  
5.754e-02  9.120e-02  2.107e+04  
6.310e-02  9.120e-02  2.212e+04  
6.918e-02  9.120e-02  2.313e+04  
7.586e-02  9.120e-02  2.406e+04  
8.318e-02  9.120e-02  2.491e+04  
9.120e-02  9.120e-02  2.564e+04  
1.000e-01  9.120e-02  2.622e+04  
1.096e-01  9.120e-02  2.665e+04  
1.202e-01  9.120e-02  2.688e+04  
1.318e-01  9.120e-02  2.691e+04  
1.445e-01  9.120e-02  2.669e+04  
1.585e-01  9.120e-02  2.624e+04  
1.738e-01  9.120e-02  2.552e+04  
1.905e-01  9.120e-02  2.454e+04  
2.089e-01  9.120e-02  2.330e+04  
2.291e-01  9.120e-02  2.182e+04  
2.512e-01  9.120e-02  2.013e+04  
2.754e-01  9.120e-02  1.826e+04  
3.020e-01  9.120e-02  1.625e+04  
3.311e-01  9.120e-02  1.416e+04  
3.631e-01  9.120e-02  1.206e+04  
3.981e-01  9.120e-02  9.998e+03  
4.365e-01  9.120e-02  8.051e+03  
4.786e-01  9.120e-02  6.272e+03  
5.248e-01  9.120e-02  4.710e+03  
5.754e-01  9.120e-02  3.393e+03  
6.310e-01  9.120e-02  2.335e+03  
6.918e-01  9.120e-02  1.525e+03  
7.586e-01  9.120e-02  9.407e+02  
8.318e-01  9.120e-02  5.443e+02  
9.120e-01  9.120e-02  2.933e+02  
1.000e+00  9.120e-02  1.460e+02  
1.000e-04  1.000e-01  6.019e+01  
1.096e-04  1.000e-01  6.599e+01  
1.202e-04  1.000e-01  7.235e+01  
1.318e-04  1.000e-01  7.933e+01  
1.445e-04  1.000e-01  8.698e+01  
1.585e-04  1.000e-01  9.536e+01  
1.738e-04  1.000e-01  1.046e+02  
1.905e-04  1.000e-01  1.146e+02  
2.089e-04  1.000e-01  1.257e+02  
2.291e-04  1.000e-01  1.378e+02  
2.512e-04  1.000e-01  1.511e+02  
2.754e-04  1.000e-01  1.656e+02  
3.020e-04  1.000e-01  1.816e+02  
3.311e-04  1.000e-01  1.990e+02  
3.631e-04  1.000e-01  2.182e+02  
3.981e-04  1.000e-01  2.392e+02  
4.365e-04  1.000e-01  2.622e+02  
4.786e-04  1.000e-01  2.875e+02  
5.248e-04  1.000e-01  3.151e+02  
5.754e-04  1.000e-01  3.454e+02  
6.310e-04  1.000e-01  3.786e+02  
6.918e-04  1.000e-01  4.150e+02  
7.586e-04  1.000e-01  4.549e+02  
8.318e-04  1.000e-01  4.986e+02  
9.120e-04  1.000e-01  5.464e+02  
1.000e-03  1.000e-01  5.988e+02  
1.096e-03  1.000e-01  6.562e+02  
1.202e-03  1.000e-01  7.191e+02  
1.318e-03  1.000e-01  7.880e+02  
1.445e-03  1.000e-01  8.634e+02  
1.585e-03  1.000e-01  9.460e+02  
1.738e-03  1.000e-01  1.036e+03  
1.905e-03  1.000e-01  1.135e+03  
2.089e-03  1.000e-01  1.244e+03  
2.291e-03  1.000e-01  1.362e+03  
2.512e-03  1.000e-01  1.492e+03  
2.754e-03  1.000e-01  1.634e+03  
3.020e-03  1.000e-01  1.789e+03  
3.311e-03  1.000e-01  1.958e+03  
3.631e-03  1.000e-01  2.143e+03  
3.981e-03  1.000e-01  2.346e+03  
4.365e-03  1.000e-01  2.566e+03  
4.786e-03  1.000e-01  2.808e+03  
5.248e-03  1.000e-01  3.071e+03  
5.754e-03  1.000e-01  3.358e+03  
6.310e-03  1.000e-01  3.671e+03  
6.918e-03  1.000e-01  4.011e+03  
7.586e-03  1.000e-01  4.382e+03  
8.318e-03  1.000e-01  4.785e+03  
9.120e-03  1.000e-01  5.223e+03  
1.000e-02  1.000e-01  5.698e+03  
1.096e-02  1.000e-01  6.214e+03  
1.202e-02  1.000e-01  6.771e+03  
1.318e-02  1.000e-01  7.374e+03  
1.445e-02  1.000e-01  8.025e+03  
1.585e-02  1.000e-01  8.725e+03  
1.738e-02  1.000e-01  9.478e+03  
1.905e-02  1.000e-01  1.029e+04  
2.089e-02  1.000e-01  1.115e+04  
2.291e-02  1.000e-01  1.207e+04  
2.512e-02  1.000e-01  1.304e+04  
2.754e-02  1.000e-01  1.408e+04  
3.020e-02  1.000e-01  1.517e+04  
3.311e-02  1.000e-01  1.631e+04  
3.631e-02  1.000e-01  1.750e+04  
3.981e-02  1.000e-01  1.873e+04  
4.365e-02  1.000e-01  2.000e+04  
4.786e-02  1.000e-01  2.130e+04  
5.248e-02  1.000e-01  2.260e+04  
5.754e-02  1.000e-01  2.391e+04  
6.310e-02  1.000e-01  2.520e+04  
6.918e-02  1.000e-01  2.646e+04  
7.586e-02  1.000e-01  2.766e+04  
8.318e-02  1.000e-01  2.877e+04  
9.120e-02  1.000e-01  2.977e+04  
1.000e-01  1.000e-01  3.064e+04  
1.096e-01  1.000e-01  3.134e+04  
1.202e-01  1.000e-01  3.185e+04  
1.318e-01  1.000e-01  3.213e+04  
1.445e-01  1.000e-01  3.215e+04  
1.585e-01  1.000e-01  3.190e+04  
1.738e-01  1.000e-01  3.135e+04  
1.905e-01  1.000e-01  3.049e+04  
2.089e-01  1.000e-01  2.933e+04  
2.291e-01  1.000e-01  2.785e+04  
2.512e-01  1.000e-01  2.609e+04  
2.754e-01  1.000e-01  2.407e+04  
3.020e-01  1.000e-01  2.184e+04  
3.311e-01  1.000e-01  1.944e+04  
3.631e-01  1.000e-01  1.695e+04  
3.981e-01  1.000e-01  1.443e+04  
4.365e-01  1.000e-01  1.197e+04  
4.786e-01  1.000e-01  9.640e+03  
5.248e-01  1.000e-01  7.513e+03  
5.754e-01  1.000e-01  5.643e+03  
6.310e-01  1.000e-01  4.067e+03  
6.918e-01  1.000e-01  2.799e+03  
7.586e-01  1.000e-01  1.829e+03  
8.318e-01  1.000e-01  1.129e+03  
9.120e-01  1.000e-01  6.532e+02  
1.000e+00  1.000e-01  3.521e+02  
